INFO buildroot.py:497:  Mock Version: 3.0
DEBUG util.py:540:  Executing command: ['/usr/sbin/userdel', '-r', '-f', 'mockbuild'] with env {'TERM': 'vt100', 'SHELL': '/bin/bash', 'HOME': '/builddir', 'HOSTNAME': 'mock', 'PATH': '/usr/bin:/bin:/usr/sbin:/sbin', 'PROMPT_COMMAND': 'printf "\\033]0;<mock-chroot>\\007"', 'PS1': '<mock-chroot> \\s-\\v\\$ ', 'LANG': 'C.UTF-8'} and shell False
DEBUG util.py:596:  Child return code was: 0
DEBUG util.py:622:  child environment: None
DEBUG util.py:540:  Executing command: ['/usr/sbin/groupdel', 'mock'] with env {'TERM': 'vt100', 'SHELL': '/bin/bash', 'HOME': '/builddir', 'HOSTNAME': 'mock', 'PATH': '/usr/bin:/bin:/usr/sbin:/sbin', 'PROMPT_COMMAND': 'printf "\\033]0;<mock-chroot>\\007"', 'PS1': '<mock-chroot> \\s-\\v\\$ ', 'LANG': 'C.UTF-8'} and shell False
DEBUG util.py:596:  Child return code was: 0
DEBUG util.py:622:  child environment: None
DEBUG util.py:540:  Executing command: ['/usr/sbin/groupadd', '-g', '135', 'mock'] with env {'TERM': 'vt100', 'SHELL': '/bin/bash', 'HOME': '/builddir', 'HOSTNAME': 'mock', 'PATH': '/usr/bin:/bin:/usr/sbin:/sbin', 'PROMPT_COMMAND': 'printf "\\033]0;<mock-chroot>\\007"', 'PS1': '<mock-chroot> \\s-\\v\\$ ', 'LANG': 'C.UTF-8'} and shell False
DEBUG util.py:596:  Child return code was: 0
DEBUG util.py:622:  child environment: None
DEBUG util.py:540:  Executing command: ['/usr/sbin/useradd', '-o', '-m', '-u', '1000', '-g', '135', '-d', '/builddir', '-n', 'mockbuild'] with env {'TERM': 'vt100', 'SHELL': '/bin/bash', 'HOME': '/builddir', 'HOSTNAME': 'mock', 'PATH': '/usr/bin:/bin:/usr/sbin:/sbin', 'PROMPT_COMMAND': 'printf "\\033]0;<mock-chroot>\\007"', 'PS1': '<mock-chroot> \\s-\\v\\$ ', 'LANG': 'C.UTF-8'} and shell False
DEBUG util.py:596:  Child return code was: 0
DEBUG file_util.py:17:  ensuring that dir exists: /var/lib/mock/eurolinux-8-x86_64/root/builddir/build
DEBUG file_util.py:20:  creating dir: /var/lib/mock/eurolinux-8-x86_64/root/builddir/build
DEBUG file_util.py:17:  ensuring that dir exists: /var/lib/mock/eurolinux-8-x86_64/root/builddir/build/RPMS
DEBUG file_util.py:20:  creating dir: /var/lib/mock/eurolinux-8-x86_64/root/builddir/build/RPMS
DEBUG file_util.py:17:  ensuring that dir exists: /var/lib/mock/eurolinux-8-x86_64/root/builddir/build/SPECS
DEBUG file_util.py:20:  creating dir: /var/lib/mock/eurolinux-8-x86_64/root/builddir/build/SPECS
DEBUG file_util.py:17:  ensuring that dir exists: /var/lib/mock/eurolinux-8-x86_64/root/builddir/build/SRPMS
DEBUG file_util.py:20:  creating dir: /var/lib/mock/eurolinux-8-x86_64/root/builddir/build/SRPMS
DEBUG file_util.py:17:  ensuring that dir exists: /var/lib/mock/eurolinux-8-x86_64/root/builddir/build/SOURCES
DEBUG file_util.py:20:  creating dir: /var/lib/mock/eurolinux-8-x86_64/root/builddir/build/SOURCES
DEBUG file_util.py:17:  ensuring that dir exists: /var/lib/mock/eurolinux-8-x86_64/root/builddir/build/BUILD
DEBUG file_util.py:20:  creating dir: /var/lib/mock/eurolinux-8-x86_64/root/builddir/build/BUILD
DEBUG file_util.py:17:  ensuring that dir exists: /var/lib/mock/eurolinux-8-x86_64/root/builddir/build/BUILDROOT
DEBUG file_util.py:20:  creating dir: /var/lib/mock/eurolinux-8-x86_64/root/builddir/build/BUILDROOT
DEBUG file_util.py:17:  ensuring that dir exists: /var/lib/mock/eurolinux-8-x86_64/root/builddir/build/originals
DEBUG file_util.py:20:  creating dir: /var/lib/mock/eurolinux-8-x86_64/root/builddir/build/originals
DEBUG file_util.py:17:  ensuring that dir exists: /var/lib/mock/eurolinux-8-x86_64/root/builddir
DEBUG util.py:622:  child environment: None
DEBUG util.py:540:  Executing command: ['/bin/rpm', '-qa', '--root', '/var/lib/mock/eurolinux-8-x86_64/root'] with env {'TERM': 'vt100', 'SHELL': '/bin/bash', 'HOME': '/builddir', 'HOSTNAME': 'mock', 'PATH': '/usr/bin:/bin:/usr/sbin:/sbin', 'PROMPT_COMMAND': 'printf "\\033]0;<mock-chroot>\\007"', 'PS1': '<mock-chroot> \\s-\\v\\$ ', 'LANG': 'C.UTF-8'} and shell False
DEBUG util.py:445:  libgcc-8.5.0-10.el8.x86_64
DEBUG util.py:445:  python-srpm-macros-3-41.el8.noarch
DEBUG util.py:445:  python3-pip-wheel-9.0.3-22.el8.noarch
DEBUG util.py:445:  python3-rpm-macros-3-41.el8.noarch
DEBUG util.py:445:  qt5-srpm-macros-5.15.2-1.el8.noarch
DEBUG util.py:445:  openblas-srpm-macros-2-2.el8.noarch
DEBUG util.py:445:  go-srpm-macros-2-17.el8.noarch
DEBUG util.py:445:  tzdata-2022a-1.el8.noarch
DEBUG util.py:445:  pkgconf-m4-1.4.2-1.el8.noarch
DEBUG util.py:445:  libssh-config-0.9.6-3.el8.noarch
DEBUG util.py:445:  el-release-8.6-2.el8.x86_64
DEBUG util.py:445:  filesystem-3.8-6.el8.x86_64
DEBUG util.py:445:  pcre2-10.32-2.el8.x86_64
DEBUG util.py:445:  ncurses-libs-6.1-9.20180224.el8.x86_64
DEBUG util.py:445:  glibc-gconv-extra-2.28-189.5.el8_6.x86_64
DEBUG util.py:445:  glibc-2.28-189.5.el8_6.x86_64
DEBUG util.py:445:  libsepol-2.9-3.el8.x86_64
DEBUG util.py:445:  info-6.5-7.el8.x86_64
DEBUG util.py:445:  gmp-6.1.2-10.el8.x86_64
DEBUG util.py:445:  elfutils-libelf-0.186-1.el8.x86_64
DEBUG util.py:445:  libxcrypt-4.1.1-6.el8.x86_64
DEBUG util.py:445:  readline-7.0-10.el8.x86_64
DEBUG util.py:445:  libcap-2.48-2.el8.x86_64
DEBUG util.py:445:  libzstd-1.4.4-1.el8.x86_64
DEBUG util.py:445:  libgpg-error-1.31-1.el8.x86_64
DEBUG util.py:445:  chkconfig-1.19.1-1.el8.x86_64
DEBUG util.py:445:  libidn2-2.2.0-1.el8.x86_64
DEBUG util.py:445:  libacl-2.2.53-1.el8.x86_64
DEBUG util.py:445:  libffi-3.1-23.el8.x86_64
DEBUG util.py:445:  p11-kit-0.23.22-1.el8.x86_64
DEBUG util.py:445:  file-libs-5.33-20.el8.x86_64
DEBUG util.py:445:  file-5.33-20.el8.x86_64
DEBUG util.py:445:  libassuan-2.5.1-3.el8.x86_64
DEBUG util.py:445:  nettle-3.4.1-7.el8.x86_64
DEBUG util.py:445:  findutils-4.6.0-20.el8.x86_64
DEBUG util.py:445:  elfutils-libs-0.186-1.el8.x86_64
DEBUG util.py:445:  gdbm-libs-1.18-1.el8.x86_64
DEBUG util.py:445:  libcap-ng-0.7.11-1.el8.x86_64
DEBUG util.py:445:  libtasn1-4.13-3.el8.x86_64
DEBUG util.py:445:  gnutls-3.6.16-4.el8.x86_64
DEBUG util.py:445:  grep-3.1-6.el8.x86_64
DEBUG util.py:445:  xz-5.2.4-4.el8_6.x86_64
DEBUG util.py:445:  gdbm-1.18-1.el8.x86_64
DEBUG util.py:445:  zip-3.0-23.el8.x86_64
DEBUG util.py:445:  cpp-8.5.0-10.el8.x86_64
DEBUG util.py:445:  patch-2.7.6-11.el8.x86_64
DEBUG util.py:445:  libstdc++-devel-8.5.0-10.el8.x86_64
DEBUG util.py:445:  dwz-0.12-10.el8.x86_64
DEBUG util.py:445:  isl-0.16.1-6.el8.x86_64
DEBUG util.py:445:  coreutils-common-8.30-12.el8.x86_64
DEBUG util.py:445:  libgomp-8.5.0-10.el8.x86_64
DEBUG util.py:445:  cpio-2.12-11.el8.x86_64
DEBUG util.py:445:  libpkgconf-1.4.2-1.el8.x86_64
DEBUG util.py:445:  pkgconf-pkg-config-1.4.2-1.el8.x86_64
DEBUG util.py:445:  glibc-devel-2.28-189.5.el8_6.x86_64
DEBUG util.py:445:  gawk-4.2.1-4.el8.x86_64
DEBUG util.py:445:  libtool-ltdl-2.4.6-25.el8.x86_64
DEBUG util.py:445:  ncurses-6.1-9.20180224.el8.x86_64
DEBUG util.py:445:  coreutils-8.30-12.el8.x86_64
DEBUG util.py:445:  libdb-5.3.28-42.el8_4.x86_64
DEBUG util.py:445:  libtirpc-1.1.4-6.el8.x86_64
DEBUG util.py:445:  libmount-2.32.1-35.el8.x86_64
DEBUG util.py:445:  libnsl2-1.2.0-2.20180605git4a062cf.el8.x86_64
DEBUG util.py:445:  platform-python-3.6.8-45.el8.x86_64
DEBUG util.py:445:  binutils-2.30-113.el8.x86_64
DEBUG util.py:445:  gzip-1.9-13.el8_5.x86_64
DEBUG util.py:445:  cracklib-dicts-2.9.6-15.el8.x86_64
DEBUG util.py:445:  libutempter-1.1.6-14.el8.x86_64
DEBUG util.py:445:  ima-evm-utils-1.3.2-12.el8.x86_64
DEBUG util.py:445:  pam-1.3.1-16.el8.x86_64
DEBUG util.py:445:  libusbx-1.0.23-4.el8.x86_64
DEBUG util.py:445:  libbabeltrace-1.5.4-3.el8.x86_64
DEBUG util.py:445:  cyrus-sasl-lib-2.1.27-6.el8_5.x86_64
DEBUG util.py:445:  libssh-0.9.6-3.el8.x86_64
DEBUG util.py:445:  curl-7.61.1-22.el8.x86_64
DEBUG util.py:445:  libarchive-3.3.3-3.el8_5.x86_64
DEBUG util.py:445:  rpm-libs-4.14.3-23.el8.x86_64
DEBUG util.py:445:  redhat-rpm-config-129-1.el8.noarch
DEBUG util.py:445:  gnupg2-2.2.20-2.el8.x86_64
